ID,Module,Feature,UserStory,ExpectedBehavior,CodeRefs,P1_StoryStatus,P2_TestStatus,ErrorsFound,P3_FixStatus,P4_RetestStatus,Notes
DST-04,distribution,get_distribution read operation,"As the system, I want to read a release's distribution status, so that I can report on delivery lifecycle.","Returns distributions/{releaseId} record (admin-only, never public) or null if absent. Carries releaseId, status, scheduledAt?, deliveryId?, deliveredAt?, updatedAt.",functions/src/app/distribution/release.ts:156-161; store.ts:64-70,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
DST-05,distribution,refresh_distribution_status operation,"As the system, I want to poll the distributor for an updated status, so that I can track delivery progress.","Reads distributions/{releaseId}, throws if no deliveryId exists yet, polls the injected DistributorClient.status(deliveryId), merges the refreshed status back into the record.",functions/src/app/distribution/release.ts:168-186; store.ts:79-92,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
DST-06,distribution,buildErnMessage function,"As the system, I want to construct a DDEX ERN XML package from a release, so that it can be submitted to a distributor.","Validates release has valid UPC/barcode, all tracks have valid ISRCs, any supplied ISWCs are valid. Builds deterministic ERN-style XML with MessageHeader, ResourceList (SoundRecordings per track), ReleaseList (Release with UPC/title/artist/credits/aiDisclosure), and DealList stub. Throws before producing XML on any validation failure.",functions/src/app/distribution/ddex.ts:103-222; identifiers.ts:34-41,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
DST-07,distribution,validateErn function,"As the system, I want to verify an ERN package is well-formed, so that invalid messages never reach the distributor.","Parses ERN XML with fast-xml-parser, returns {ok, problems[]} if well-formed and required elements present (NewReleaseMessage root, MessageHeader, ResourceList with ge 1 SoundRecordings each with ISRC, ReleaseList/Release). Does not throw; returns validation result.",functions/src/app/distribution/ddex.ts:239-293,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
DST-08,distribution,FakeDistributorClient test double,"As the system, I want to test distribution without a live DSP account, so that gates run offline.",Records each deliver() call with deliveryId/ernXml/meta/status in memory; returns synthetic delivery id + initialStatus (default accepted). status() call advances recorded delivery to refreshedStatus (default delivered) to simulate the release going live.,functions/src/app/distribution/client.ts:145-170,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
DST-09,distribution,DdexDistributorClient real client,"As the operator, I want to deliver ERN packages to a live distributor, so that music ships to DSPs.",POSTs ERN XML to configured base URL (env DISTRIBUTOR_BASE_URL) with Bearer token (env DISTRIBUTOR_API_TOKEN). Throws without token. status() GET polls delivery id. Only invoked in production; never in unit/emulator gates.,functions/src/app/distribution/client.ts:70-128,STORY_DONE,BLOCKED_OWNER,,N/A,BLOCKED_OWNER,FakeDistributorClient (DST-08) fully tested via distribution.emulator; real client needs DISTRIBUTOR_API_TOKEN at handoff.
EXP-01,exports,health endpoint,"As a caller, I want to check service health and harness version, so that I know the deployment is running.","GET /health; returns {ok, service, harnessVersion}; no auth required.",functions/src/index.ts:84-86,STORY_DONE,TEST_PASS_INDIRECT,,N/A,VERIFIED_INDIRECT,gatewayInfo() covered; thin onRequest health wrapper not invoked by a test.
EXP-02,exports,createCheckout (deployed),"As a customer, I want to create a Polar checkout via the public API, so that I can purchase.","Callable {productId} -> {checkoutUrl, checkoutId}; no auth required; calls PolarSdkClient; DEPLOYED.",functions/src/index.ts:88-97,STORY_DONE,TEST_PASS_INDIRECT,,N/A,VERIFIED_INDIRECT,createCheckoutForProduct covered via polar.emulator (FakePolarClient); onCall wrapper + live PolarSdkClient not invoked (needs POLAR_ACCESS_TOKEN).
EXP-03,exports,polarWebhook (deployed),"As Polar, I want to notify of paid orders via webhook, so that entitlements are granted.",onRequest receiver; verifies Standard Webhooks signature (POLAR_WEBHOOK_SECRET bound); calls handlePolarWebhook; returns {handled}; DEPLOYED.,functions/src/index.ts:99-123,STORY_DONE,TEST_PASS_INDIRECT,,N/A,VERIFIED_INDIRECT,"verifyWebhookSignature + handlePolarWebhook covered (polarWebhookSignature, polar.emulator); onRequest wrapper not invoked by a test."
FIN-01,finance,Ingest D2C Revenue,"As a label admin, I want to pull D2C (Polar) orders into revenue events for a period, so that I have a local, offline source of truth for order-based income.","Reads Firestore orders mirror; filters to paid orders; maps products to releases; creates RevenueEvent records (id, source, grossCents, currency, occurredAt); idempotent on event id; stores in admin-only revenue_events collection.",functions/src/app/finance/revenue.ts:89-121; functions/src/app/finance/tools.ts:55-70,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
FIN-02,finance,Ingest DSP Revenue (stub),"As a label operator, I want to ingest streaming/download income from a distributor, so that I account for non-D2C revenue.",Real stub reads DISTRIBUTOR_API_TOKEN from env; throws without it; never invoked in tests; deterministic fake class included for gates.,functions/src/app/finance/revenue.ts:169-194,STORY_DONE,BLOCKED_OWNER,,N/A,BLOCKED_OWNER,Deterministic fake ingest tested; real path needs DISTRIBUTOR_API_TOKEN at handoff.
FIN-03,finance,Ingest PRO/MLC Revenue (stub),"As a label operator, I want to ingest publishing income from a PRO/MLC, so that I account for performance/mechanical royalties.",Real stub reads PRO_API_TOKEN from env; throws without it; never invoked in tests; deterministic fake class included for gates.,functions/src/app/finance/revenue.ts:196-216,STORY_DONE,BLOCKED_OWNER,,N/A,BLOCKED_OWNER,Deterministic fake ingest tested; real path needs PRO_API_TOKEN at handoff.
FIN-04,finance,Compute Royalty Split,"As a finance system, I want to split a release's gross revenue across payees using largest-remainder allocation, so that no cents are lost or created.",Splits totalCents across ownership splits using Hamilton method; guarantees sum = totalCents exactly; rejects invalid inputs (non-integer/negative/splits not summing to 100); returns PayeeShare array.,functions/src/app/finance/royalty.ts:50-93,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
FIN-05,finance,Apply Recoupment,"As a finance system, I want to recoup an artist's outstanding advance from their royalty share, so that the label recovers fronted costs before payout.","Computes recoupment = min(available, outstanding); updates account.recoupedCents; never negative; carries leftover advance; pure function with persisted variant.",functions/src/app/finance/recoupment.ts:66-82; functions/src/app/finance/recoupment.ts:148-159,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
FIN-06,finance,Generate Royalty Statement,"As a label admin, I want a per-artist/per-period statement reconciling gross to net payable, so that I have an auditable record of each artist's earnings.","Finds artist's releases; gathers period revenue events; splits each release gross via ownershipSplits; takes artist payee share (cent-exact); attributes to sources proportionally; applies deductions then recoupment; reconciles gross - deductions - recoupment = net; persists to royalty_statements; idempotent on (artistId, period).",functions/src/app/finance/statements.ts:125-214,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
FIN-07,finance,Propose Payout,"As a label admin, I want to propose a payout for an artist's statement, so that approval can happen before execution.",Reads statement; validates artistId match; creates Payout record with status proposed; amount = statement net; no money moves; stores in admin-only payouts collection; idempotent on statementId.,functions/src/app/finance/payout.ts:70-96,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
FIN-08,finance,Execute Payout (CONSEQUENTIAL stub),"As a label admin, I want to execute an approved payout, so that the payment process begins.",CONSEQUENTIAL action gated by ApprovalGate via initiate_payout tool; reaches DOCUMENTED STUB only (no payment SDK); marks status executed-stub; records timestamp + stub note; no money moved; requires operator payment creds at handoff.,functions/src/app/finance/payout.ts:127-143; functions/src/app/finance/tools.ts:111-129,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
GW-01,gateway,adminCreateArtist callable,"As a label owner, I want to create an artist profile, so that I can manage their releases.",EXPORTED (index.ts:37). Accepts artist id/name/bio/photoPath/links; verifies admin auth; persists to artists collection; returns Artist.,functions/src/app/gateway/adminApi.ts:460-471; functions/src/index.ts:37,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
GW-02,gateway,adminCreateRelease callable,"As a label owner, I want to create a release for an artist, so that I can plan distribution and marketing.",EXPORTED (index.ts:38). Accepts release id/artistId/title/catalogNumber/type/releaseDate; verifies admin; sets aiGenerated=true; persists to releases collection.,functions/src/app/gateway/adminApi.ts:473-486; functions/src/index.ts:38,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
GW-03,gateway,adminCreateProduct callable,"As a label owner, I want to create a sellable product linked to a release, so that customers can purchase.",EXPORTED (index.ts:39). Accepts product id/type/title/priceCents/currency/releaseId/polarProductId/polarPriceId; verifies admin; persists to products collection.,functions/src/app/gateway/adminApi.ts:488-502; functions/src/index.ts:39,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
GW-04,gateway,adminListOrders callable,"As a label owner, I want to view all paid orders, so that I can track D2C sales.",EXPORTED (index.ts:40). Verifies admin; reads and returns all orders (read-only).,functions/src/app/gateway/adminApi.ts:504-507; functions/src/index.ts:40,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
GW-05,gateway,adminSetIdentifiers callable,"As a label owner, I want to set UPC, credits, and per-track ISRCs, so that distribution metadata is complete.","EXPORTED (index.ts:63). Accepts releaseId + optional upc/credits/trackIsrcs; verifies admin; validates identifiers; persists to release + tracks; returns {release, tracks}.",functions/src/app/gateway/adminApi.ts:520-542; functions/src/index.ts:63,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
GW-06,gateway,adminSetOwnershipSplits callable,"As a label owner, I want to set sensitive ownership splits for a release, so that royalties route correctly.",EXPORTED (index.ts:64). Accepts releaseId + splits; verifies admin; validates splits sum to 100; writes ONLY to admin-only rights collection; returns RightsRecord.,functions/src/app/gateway/adminApi.ts:563-576; functions/src/index.ts:64,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
GW-07,gateway,adminIngestMaster callable,"As a label owner, I want to upload a track master to private Storage, so that it is secured for distribution.","EXPORTED (index.ts:66). Accepts trackId, masterPath, contentBase64; verifies admin; uploads to PRIVATE Storage; records in track_masters with content SHA-256; returns {trackId, masterPath, contentSha256}.",functions/src/app/gateway/adminApi.ts:608-621; functions/src/index.ts:66,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
GW-08,gateway,adminGeneratePreview callable,"As a label owner, I want to generate a 30s preview clip from the master, so that customers hear a sample.","EXPORTED (index.ts:67). Accepts trackId, previewClipPath, masterContentBase64; verifies admin; encodes via injected encoder; uploads to PUBLIC Storage; updates track previewClipPath.",functions/src/app/gateway/adminApi.ts:634-650; functions/src/index.ts:67,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
GW-09,gateway,adminSetProvenance callable,"As a label owner, I want to set AI-generation provenance for a track, so that buyers know it was AI-created.","EXPORTED (index.ts:68). Accepts trackId, generator, model, disclosure, contentBase64; verifies admin; creates C2PA-style record with SHA-256 binding; persists to provenance collection.",functions/src/app/gateway/adminApi.ts:656-670; functions/src/index.ts:68,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
GW-10,gateway,adminScheduleRelease callable,"As a label owner, I want to schedule a release for distribution, so that it is queued for DSP delivery.","EXPORTED (index.ts:41). Accepts releaseId, scheduledAt; verifies admin; validates release exists; persists DistributionRecord status scheduled (non-consequential).",functions/src/app/gateway/adminApi.ts:684-694; functions/src/index.ts:41,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
GW-11,gateway,adminDeliverRelease callable (CONSEQUENTIAL),"As a label owner, I want to deliver a scheduled release to DSPs, so that it is distributed.","EXPORTED (index.ts:42). Accepts releaseId, approved=true (schema-required); verifies admin; checks DISTRIBUTOR_API_TOKEN bound at deploy; calls DdexDistributorClient; persists status delivered; no delivery without approval.",functions/src/app/gateway/adminApi.ts:704-715; functions/src/index.ts:42,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
GW-12,gateway,adminListDistributions callable,"As a label owner, I want to see distribution status for all releases, so that I know which are scheduled/delivered.",EXPORTED (index.ts:43). Verifies admin; reads all DistributionRecords; joins with release titles; returns DistributionStatusRow[] (read-only).,functions/src/app/gateway/adminApi.ts:727-738; functions/src/index.ts:43,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
GW-13,gateway,adminListStatements callable,"As a label owner, I want to view royalty statements by period/artist, so that I can track earnings.",EXPORTED (index.ts:70). Verifies admin; optionally filters by artistId; reads and returns all RoyaltyStatements (read-only).,functions/src/app/gateway/adminApi.ts:871-877; functions/src/index.ts:70,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
GW-14,gateway,adminIngestRevenue callable,"As a label owner, I want to ingest revenue from Polar sales + optional fixtures, so that royalties are calculated.","EXPORTED (index.ts:69). Accepts period, optional productReleaseMap/distributorEvents/proEvents; verifies admin; always pulls local Polar orders; optionally ingests deterministic fixtures; NO live revenue API called.",functions/src/app/gateway/adminApi.ts:840-852; functions/src/index.ts:69,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
GW-15,gateway,adminGenerateStatement callable,"As a label owner, I want to generate a per-artist royalty statement for a period, so that payouts are reconciled.","EXPORTED (index.ts:71). Accepts artistId, period, optional deductionsCents/payeeName; verifies admin; computes net = gross - deductions; persists RoyaltyStatement.",functions/src/app/gateway/adminApi.ts:855-868; functions/src/index.ts:71,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
GW-16,gateway,adminProposePayout callable,"As a label owner, I want to propose a payout for a statement, so that the artist can be paid.","EXPORTED (index.ts:72). Accepts artistId, statementId, optional currency; verifies admin; reads statement; creates Payout status proposed (no live payment).",functions/src/app/gateway/adminApi.ts:885-893; functions/src/index.ts:72,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
GW-17,gateway,adminRegisterWork callable,"As a label owner, I want to register a composition in the publishing registry, so that it can be tracked for sync licensing.","EXPORTED (index.ts:73). Accepts id, title, optional iswc/linkedIsrcs; verifies admin; validates identifiers; persists to PUBLIC works collection.",functions/src/app/gateway/adminApi.ts:906-919; functions/src/index.ts:73,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
GW-18,gateway,adminSetWriterSplits callable,"As a label owner, I want to set sensitive writer splits for a composition, so that royalties route to writers.","EXPORTED (index.ts:74). Accepts workId, splits; verifies admin; validates splits sum to 100; writes ONLY to admin-only work_splits collection.",functions/src/app/gateway/adminApi.ts:922-933; functions/src/index.ts:74,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
GW-19,gateway,adminRegisterProAffiliation callable,"As a label owner, I want to register a writer's PRO/MLC affiliation, so that royalties can be collected.","EXPORTED (index.ts:75). Accepts writerId, pro, optional ipi/memberId; verifies admin; checks PRO_API_TOKEN bound at deploy; calls injected ProRegistrar; persists ProAffiliation.",functions/src/app/gateway/adminApi.ts:941-958; functions/src/index.ts:75,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
GW-20,gateway,adminAddToSyncCatalog callable,"As a label owner, I want to add a recording to the sync catalog, so that it is available for licensing.","EXPORTED (index.ts:76). Accepts recordingId, workId, title, optional available; verifies admin; persists to PUBLIC sync_catalog collection.",functions/src/app/gateway/adminApi.ts:961-974; functions/src/index.ts:76,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
GW-21,gateway,adminRequestSyncLicense callable,"As a licensee, I want to request a sync license for a recording, so that it can be used in media.","EXPORTED (index.ts:77). Accepts id, recordingId, workId, licensee, mediaType, territory, termMonths, feeCents; verifies admin; persists sync_licenses status requested.",functions/src/app/gateway/adminApi.ts:977-994; functions/src/index.ts:77,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
GW-22,gateway,adminClearSyncLicense callable,"As a label owner, I want to verify a requested sync license is complete, so that I can issue it.",EXPORTED (index.ts:78). Accepts licenseId; verifies admin; checks recording + work exist; updates status cleared.,functions/src/app/gateway/adminApi.ts:997-1005; functions/src/index.ts:78,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
GW-23,gateway,adminIssueSyncLicense callable (CONSEQUENTIAL),"As a label owner, I want to issue a cleared sync license, so that the licensee can legally use the composition.","EXPORTED (index.ts:79). Accepts licenseId, approved=true (schema-required); verifies admin; reads cleared license; stamps placeholder text; sets status issued; no issuance without approval.",functions/src/app/gateway/adminApi.ts:1013-1021; functions/src/index.ts:79,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
GW-24,gateway,adminPlanCampaign callable,"As a campaign operator, I want to plan a release campaign from the admin console, so that marketing is coordinated.","EXPORTED (index.ts:48). Accepts releaseId, optional budgetCents/campaignId; verifies admin; expands template; persists campaign status planned.",functions/src/app/gateway/adminApi.ts:1035-1046; functions/src/index.ts:48,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
GW-25,gateway,adminScheduleCampaign callable,"As a campaign operator, I want to schedule planned steps from the admin console, so that they fire autonomously.","EXPORTED (index.ts:49). Accepts campaignId, baseTime, optional cadenceDays; verifies admin; schedules via injected scheduler; persists step times + status scheduled.",functions/src/app/gateway/adminApi.ts:1054-1068; functions/src/index.ts:49,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
GW-26,gateway,adminListCampaigns callable,"As a campaign operator, I want to view all campaigns from the admin console, so that I can track status.",EXPORTED (index.ts:50). Verifies admin; reads and returns all Campaign records (read-only).,functions/src/app/gateway/adminApi.ts:1071-1074; functions/src/index.ts:50,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
GW-27,gateway,adminPublishSocialPost callable (CONSEQUENTIAL),"As a label owner, I want to publish a social post from the admin console, so that the release is announced.","EXPORTED (index.ts:51). Accepts platform, message, optional assetPath, approved=true; verifies admin; checks SOCIAL_API_TOKEN bound at deploy; calls injected SocialChannel; logs marketing_events; no post without approval.",functions/src/app/gateway/adminApi.ts:1083-1102; functions/src/index.ts:51,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
GW-28,gateway,adminSendEmailBlast callable (CONSEQUENTIAL),"As a label owner, I want to send an email blast from the admin console, so that subscribers are notified.","EXPORTED (index.ts:52). Accepts segment, subject, body, approved=true; verifies admin; checks EMAIL_API_TOKEN bound at deploy; calls injected EmailChannel; logs marketing_events; no send without approval.",functions/src/app/gateway/adminApi.ts:1109-1128; functions/src/index.ts:52,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
GW-29,gateway,adminMarketingSpend callable (CONSEQUENTIAL),"As a label owner, I want to place paid ad spend from the admin console, so that the release is promoted.","EXPORTED (index.ts:53). Accepts platform, budgetCents, currency, objective, approved=true; verifies admin; checks ADS_API_TOKEN bound at deploy; calls injected AdChannel; logs marketing_events; no spend without approval.",functions/src/app/gateway/adminApi.ts:1136-1156; functions/src/index.ts:53,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
GW-30,gateway,adminIngestAnalytics callable,"As a label owner, I want to ingest analytics from Polar sales + optional DSP stats, so that performance is tracked.","EXPORTED (index.ts:54). Accepts period, optional productReleaseMap/dspStats; verifies admin; always pulls Polar orders; optionally ingests deterministic DSP fixtures; NO live analytics API called.",functions/src/app/gateway/adminApi.ts:1174-1185; functions/src/index.ts:54,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
GW-31,gateway,adminGenerateInsights callable,"As a label owner, I want to generate insight reports on performance, so that I understand what resonates.","EXPORTED (index.ts:55). Accepts period, optional priorPeriod; verifies admin; generates deterministic InsightReport (read-only); persists and returns.",functions/src/app/gateway/adminApi.ts:1188-1194; functions/src/index.ts:55,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
GW-32,gateway,adminRecommendNextActions callable,"As a label owner, I want A&R recommendations (proposals only), so that I can guide creative decisions.","EXPORTED (index.ts:56). Accepts period, optional priorPeriod; verifies admin; derives AnrRecommendation list; persists and returns (no consequential action triggered).",functions/src/app/gateway/adminApi.ts:1197-1203; functions/src/index.ts:56,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
GW-33,gateway,adminListRecommendations callable,"As a label owner, I want to view stored A&R recommendations, so that I can track what was suggested.",EXPORTED (index.ts:57). Verifies admin; reads and returns all AnrRecommendation records (read-only).,functions/src/app/gateway/adminApi.ts:1206-1211; functions/src/index.ts:57,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
GW-34,gateway,adminRegisterAgreement callable,"As a label owner, I want to register an artist agreement, so that terms are recorded.","EXPORTED (index.ts:58). Accepts artistId, termMonths, royaltyRatePct, ownershipNote, optional aiGenerationConsent/signedAt; verifies admin; persists ArtistAgreement status draft.",functions/src/app/gateway/adminApi.ts:1222-1239; functions/src/index.ts:58,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
GW-35,gateway,adminActivateAgreement callable,"As a label owner, I want to activate an artist agreement, so that it becomes binding.",EXPORTED (index.ts:59). Accepts artistId; verifies admin; updates ArtistAgreement status active.,functions/src/app/gateway/adminApi.ts:1242-1252; functions/src/index.ts:59,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
GW-36,gateway,adminSetLicenseTerms callable,"As a label owner, I want to set binding license terms, so that custom legal wording is used.","EXPORTED (index.ts:60). Accepts kind, bodyText; verifies admin; sets isPlaceholder=false; persists LicenseTerms.",functions/src/app/gateway/adminApi.ts:1258-1266; functions/src/index.ts:60,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
GW-37,gateway,adminCheckReleaseCompliance callable,"As a label owner, I want to run a pre-distribution compliance check, so that metadata is complete.",EXPORTED (index.ts:61). Accepts releaseId; verifies admin; runs read-only validation (credits/identifiers/splits/provenance/agreements); returns ComplianceResult.,functions/src/app/gateway/adminApi.ts:1269-1275; functions/src/index.ts:61,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
GW-38,gateway,adminListPendingApprovals callable,"As a label owner, I want to see which consequential agent actions are blocked pending approval, so that I can unblock them.",EXPORTED (index.ts:45). Verifies admin; reads ApprovalRecord list; returns all with status pending (read-only).,functions/src/app/gateway/adminApi.ts:793-798; functions/src/index.ts:45,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
GW-39,gateway,adminApprove callable,"As a label owner, I want to approve a blocked agent action, so that it can execute on the next run.","EXPORTED (index.ts:46). Accepts approvalId; verifies admin; updates ApprovalRecord status approved; the same (tool, args) call is then unblocked.",functions/src/app/gateway/adminApi.ts:805-815; functions/src/index.ts:46,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
GW-40,gateway,adminListAudit callable,"As a label owner, I want to review a thread's full agent audit trail, so that I can see every action and decision.",EXPORTED (index.ts:47). Accepts threadId; verifies admin; reads all AuditEntry records for the thread; returns in call order (read-only).,functions/src/app/gateway/adminApi.ts:818-824; functions/src/index.ts:47,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
GW-41,gateway,runAgent callable,"As a label owner, I want to run the lead agent from the admin console with a prompt, so that it can autonomously execute label tasks.",EXPORTED (index.ts:81). Accepts prompt; verifies admin; checks ANTHROPIC_API_KEY bound at deploy; builds LabelAgent; invokes graph; returns transcript (every tool/approval-blocked call audited).,functions/src/app/gateway/adminApi.ts:756-773; functions/src/index.ts:81,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
LBL-01,label,create_artist tool,"As an agent, I want to create or overwrite an artist in the label catalog, so that the artist can be associated with releases.","Writes a world-readable artist doc (id, name, bio, photoPath, links) to the artists collection with set-with-id idempotence. Prunes undefined link fields.",functions/src/app/label/tools.ts:163-183; store.ts:60-64,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
LBL-02,label,create_release tool,"As an agent, I want to create a release linked to an artist, so that it can contain tracks and be distributed.","Writes a release doc (id, artistId, title, catalogNumber, type, releaseDate, aiGenerated=true) to the releases collection with set-with-id idempotence. Validates and normalizes UPC barcode if present.",functions/src/app/label/tools.ts:185-202; store.ts:96-100,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
